t,v
2017-07-05T00:00:00Z,125726
2017-07-06T00:00:00Z,123558
2017-07-07T00:00:00Z,141222
2017-07-08T00:00:00Z,114568
2017-07-09T00:00:00Z,106591
2017-07-10T00:00:00Z,136397
2017-07-11T00:00:00Z,136938
2017-07-12T00:00:00Z,131339
2017-07-13T00:00:00Z,117609
2017-07-14T00:00:00Z,115928
2017-07-15T00:00:00Z,107688
2017-07-16T00:00:00Z,114090
2017-07-17T00:00:00Z,115784
2017-07-18T00:00:00Z,124659
2017-07-19T00:00:00Z,127989
2017-07-20T00:00:00Z,123360
2017-07-21T00:00:00Z,116402
2017-07-22T00:00:00Z,99867
2017-07-23T00:00:00Z,134703
2017-07-24T00:00:00Z,118331
2017-07-25T00:00:00Z,114825
2017-07-26T00:00:00Z,106966
2017-07-27T00:00:00Z,113766
2017-07-28T00:00:00Z,116632
2017-07-29T00:00:00Z,96659
2017-07-30T00:00:00Z,108275
2017-07-31T00:00:00Z,134872
2017-08-01T00:00:00Z,106107
2017-08-02T00:00:00Z,110900
2017-08-03T00:00:00Z,109546
2017-08-04T00:00:00Z,121245
2017-08-05T00:00:00Z,119543
2017-08-06T00:00:00Z,118304
2017-08-07T00:00:00Z,128780
2017-08-08T00:00:00Z,148110
2017-08-09T00:00:00Z,134365
2017-08-10T00:00:00Z,154590
2017-08-11T00:00:00Z,155324
2017-08-12T00:00:00Z,144077
2017-08-13T00:00:00Z,143119
2017-08-14T00:00:00Z,181133
2017-08-15T00:00:00Z,179535
2017-08-16T00:00:00Z,177618
2017-08-17T00:00:00Z,181314
2017-08-18T00:00:00Z,189599
2017-08-19T00:00:00Z,167049
2017-08-20T00:00:00Z,142439
2017-08-21T00:00:00Z,175160
2017-08-22T00:00:00Z,160695
2017-08-23T00:00:00Z,173228
2017-08-24T00:00:00Z,156441
2017-08-25T00:00:00Z,166765
2017-08-26T00:00:00Z,134774
2017-08-27T00:00:00Z,138709
2017-08-28T00:00:00Z,161713
2017-08-29T00:00:00Z,175887
2017-08-30T00:00:00Z,185483
2017-08-31T00:00:00Z,185903
2017-09-01T00:00:00Z,179046
2017-09-02T00:00:00Z,152765
2017-09-03T00:00:00Z,138701
2017-09-04T00:00:00Z,204530
2017-09-05T00:00:00Z,195551
2017-09-06T00:00:00Z,208473
2017-09-07T00:00:00Z,188523
2017-09-08T00:00:00Z,192467
2017-09-09T00:00:00Z,166105
2017-09-10T00:00:00Z,150663
2017-09-11T00:00:00Z,173113
2017-09-12T00:00:00Z,196272
